6,10,0,6,2024,610000,110,130000,0,130000,120,275000,0,275000,130,575000,0,575000,140,549000,0,549000,150,1630000,0,1630000,160,940000,0,940000,170,987000,0,987000,180,30703301,0,30703301,185,-73546,0,-73546,190,35715755,0,35715755
6,20,0,6,2024,620000,110,325000,0,325000,120,500000,0,500000,130,765000,0,765000,140,908000,0,908000,150,2355000,0,2355000,160,1535000,0,1535000,170,1417535,0,1417535,180,35378111,0,35378111,185,-78470,0,-78470,190,43105176,0,43105176
6,22,0,6,2024,622000,110,870000,4755957,5625957,120,559000,0,559000,130,2496224,0,2496224,140,1607067,0,1607067,150,6342438,0,6342438,160,3943991,0,3943991,170,3958072,0,3958072,180,147184909,0,147184909,185,-54505,0,-54505,190,166907196,4755957,171663153
7,10,990,6,2024,710990,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
7,20,168,6,2024,720168,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
7,25,31,6,2024,725031,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
7,25,203,6,2024,725203,110,401,0,401,120,530,0,530,130,849,0,849,140,569,0,569,150,1469,0,1469,160,970,0,970,170,647,0,647,180,12281,0,12281,185,-49,0,-49,190,17667,0,17667
7,25,326,6,2024,725326,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
7,25,355,6,2024,725355,110,0,1345223,1345223,120,0,573276,573276,130,0,1148552,1148552,140,0,584111,584111,150,0,1649567,1649567,160,0,1321000,1321000,170,0,934000,934000,180,0,19811135,19811135,185,0,-287123,-287123,190,0,27079742,27079742
7,25,676,6,2024,725676,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
9,25,0,6,2024,925000,110,1428000,1245724,2673724,120,730000,0,730000,130,3054280,0,3054280,140,2927369,0,2927369,150,10146693,0,10146693,160,6650000,0,6650000,170,7286062,0,7286062,180,145545112,826000,146371112,185,-206020,0,-206020,190,177561496,2071724,179633220
20,0,2,6,2024,2000002,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
20,0,11,6,2024,2000011,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
20,0,12,6,2024,2000012,110,0,0,0,120,0,0,0,130,0,0,0,140,0,0,0,150,0,0,0,160,0,0,0,170,0,0,0,180,0,0,0,185,0,0,0,190,0,0,0
