7,20,66,6,2024,720066,107,16178,4319449,0,0,490,17847,17201,4320585,42639,0,0,2,3,42644,11,43451,8424,4507122,0,3623952,257,4053,0,12616,0,12616,34059,3676901,830220,4507122,-105,0,0,3624209,0,0,0,0,2765,1963,0,0,22669,0,96458,54838,656361,629,69067,3261,72957
7,20,131,6,2024,720131,3,2436,679202,0,5025,143,3941,9459,678852,11348,0,96,5,43,11491,236,3897,761,713350,0,574400,5602,646,0,2022,0,2022,3020,586099,127252,713350,-100,0,0,580002,0,0,0,0,0,408,0,0,1993,0,0,76627,48732,4827,10508,339,15673
7,20,143,6,2024,720143,41,2465,789211,0,0,0,1226,1594,788843,6569,0,0,0,0,6569,0,1880,1149,812776,0,595812,0,721,0,1473,0,1473,3652,601834,210942,812776,30,0,0,595812,0,0,0,0,10,177,0,0,5402,0,0,0,205510,0,11369,452,11821
7,20,168,6,2024,720168,2,4311,626121,0,4469,307,4945,5569,630273,8402,0,98,4,31,8535,567,3953,297,674232,0,534781,34,516,0,1849,0,1849,2525,540161,134071,674232,0,0,0,534815,0,0,0,0,0,456,0,0,1636,0,0,9707,122728,3964,22049,281,26294
7,20,186,6,2024,720186,0,1636,389454,0,0,204,274,1572,388360,3208,0,0,1,0,3209,0,1809,179,401366,0,298142,991,788,0,1011,19,1029,1704,302793,98573,401366,0,0,0,299132,0,0,0,0,0,139,0,0,1537,0,0,36420,60616,0,5881,292,6173
7,20,188,6,2024,720188,11,5560,851218,0,4,0,5028,3022,853227,4799,0,0,0,865,5665,852,4317,4617,971369,0,809014,0,827,0,2841,0,2841,8287,821205,150164,971369,616,0,0,809014,0,0,0,0,260,236,0,0,1236,0,0,16406,131907,80276,16235,349,96860
7,20,194,6,2024,720194,128,6663,2211667,0,0,0,22466,5849,2228285,14001,0,0,0,0,14001,150,12869,2786,2298678,0,1774316,0,1441,0,5401,0,5401,9584,1791286,507392,2298678,-21,0,0,1774316,0,0,0,0,0,543,0,0,10969,0,0,92568,403877,0,32815,981,33796
7,20,336,6,2024,720336,14,5569,1480799,0,0,270,8938,5452,1484555,17193,0,0,6,0,17199,0,18984,2146,1550565,0,1231813,6275,2229,0,4162,0,4162,14334,1259415,291151,1550565,95,0,0,1238089,0,0,0,0,56,602,0,0,5029,0,0,40432,245595,0,21025,1016,22041
7,20,345,6,2024,720345,12,23388,6833547,0,0,0,25554,19405,6839696,41887,0,0,0,0,41887,1637,29027,5601,7050083,0,5719702,129,10962,0,19629,0,19629,25699,5778538,1271545,7050083,-147,0,0,5719831,0,0,0,0,360,2417,0,0,21870,0,267216,617439,365166,0,104588,3886,108474
7,20,376,6,2024,720376,14,5965,1510902,0,4415,224,5909,4326,1517124,11128,0,59,1,15,11202,1446,7914,2024,1572975,0,1170902,12550,4215,0,4324,0,4324,6733,1199695,373280,1572975,-140,0,0,1183452,0,0,0,0,10,971,0,0,2814,0,7873,148283,214450,1705,24665,906,27276
7,20,440,6,2024,720440,15,10860,2689303,0,0,401,10145,13635,2686214,36899,0,0,2,12,36912,722,20112,4041,2803610,0,2244118,91,2216,0,7607,0,7607,16947,2270979,532630,2803610,-180,0,0,2244209,0,0,0,0,0,0,0,0,25459,0,65531,333883,107938,2362,41111,1261,44734
7,20,899,6,2024,720899,192,12879,3174533,0,0,0,5590,7634,3172489,49436,0,0,0,968,50405,718,6926,3230,3342961,0,2775128,2140,2368,0,8713,0,8713,11253,2800118,542843,3342961,0,0,0,2777267,0,0,0,0,0,516,0,0,8348,5585,0,366076,162835,36421,53265,6435,96121
7,20,922,6,2024,720922,617,1882,617353,0,0,29,2974,2103,618253,9800,0,0,0,0,9800,826,7480,99,649005,0,504518,5153,1463,0,1660,0,1660,3513,516307,132698,649005,0,0,0,509671,0,0,0,0,288,0,0,0,4951,0,15817,61416,50514,0,9388,372,9760
7,22,12,6,2024,722012,0,38110,12624218,0,0,847,44057,38810,12630312,104423,0,0,4,0,104427,3338,50578,41757,13377264,0,10629613,9903,66154,0,104087,0,104087,33351,10853177,2524087,13377264,-2238,0,0,10639516,0,0,0,0,0,10069,0,0,26790,0,0,499090,2000445,0,474584,34158,508742
7,22,114,6,2024,722114,0,6107,1438598,0,0,0,7658,2874,1443382,22520,0,0,0,0,22520,783,12035,8070,1547800,0,1155341,0,7658,0,12270,0,12270,4492,1180297,367503,1547800,-885,0,0,1155341,0,0,0,0,0,536,0,0,1927,0,0,130602,235859,0,54472,431,54903
7,22,146,6,2024,722146,0,15403,6238522,0,0,0,23829,13900,6248451,81213,0,0,0,5335,86548,2064,28485,22702,7057149,0,5702195,0,5708,0,56727,0,56727,13321,5780467,1276681,7057149,-1128,0,0,5702195,0,0,0,0,0,2516,0,0,8237,0,0,0,1269573,386423,232549,34524,653496
7,22,198,6,2024,722198,43303,115488,39021491,0,1154156,0,97781,66000,40207428,588127,0,10681,0,17853,616661,9865,233756,23038,44371765,0,35922715,0,69861,0,338897,0,338897,84446,36427918,7943846,44371765,0,0,0,35922715,0,0,0,0,0,12000,0,0,0,0,0,1973866,5969980,1471365,1421003,229857,3122225
7,22,216,6,2024,722216,3701,27169,14016055,0,0,0,52207,24807,14043455,170050,0,0,0,0,170050,5846,47772,72953,14850750,0,11878182,0,78401,0,129954,0,129954,22487,12113659,2737092,14850750,-7079,0,0,11878182,0,0,0,0,0,4635,0,0,0,0,662638,0,2081532,0,453177,26628,479804
7,22,233,6,2024,722233,0,53216,33075151,0,0,0,185700,46544,33214307,352478,0,0,0,26031,378509,9860,220233,93786,37274403,0,30482480,5727,161134,0,282759,0,282759,46601,30988760,6285644,37274403,-1214,0,0,30488207,0,0,0,0,0,10059,0,0,88071,0,219777,0,5979009,1917680,1249224,137590,3304493
7,22,313,6,2024,722313,0,3756,1833625,0,0,0,11978,3459,1842144,16640,0,0,0,0,16640,1239,17384,10252,1958073,0,1520215,17325,4826,0,14220,0,14220,3969,1561180,396892,1958073,0,0,0,1537540,0,0,0,0,0,625,0,0,6222,0,0,0,390671,0,61355,5304,66658
7,22,350,6,2024,722350,0,5009,2319619,0,0,0,12657,6494,2325782,33029,0,0,0,2,33031,860,8301,8168,2458015,0,1943172,88,6731,0,17867,0,17867,4303,1972915,485100,2458015,-589,0,0,1943260,0,0,0,0,0,755,0,0,3541,0,0,0,482149,26,76393,444,76864
7,22,406,6,2024,722406,0,2252,907543,0,0,0,173,858,906858,17018,0,0,0,424,17442,77,5125,5283,1002711,0,776402,240,3340,0,6741,0,6741,1546,788289,214422,1002711,29,0,0,776642,0,0,0,0,0,20,0,0,1657,0,0,0,212736,29324,36096,254,65674
7,22,644,6,2024,722644,0,14511,6384966,0,0,0,22716,13419,6394263,77653,0,0,0,0,77653,1842,33422,23491,6820990,0,5477614,18956,25887,0,51845,0,51845,9663,5585022,1235968,6820990,-730,0,0,5496570,0,0,0,0,0,1057,0,0,12360,0,0,0,1224337,0,241758,34051,275808
7,22,918,6,2024,722918,2400,151489,28940113,3579,0,0,305823,125295,29124221,317670,0,0,0,14024,331694,10002,119576,286851,33034188,0,27123675,16262,242399,0,265044,0,265598,145039,28001878,5032310,33034188,-6969,0,0,27339937,0,200000,554,0,8908,8904,0,0,10994,100000,1780603,901794,2245888,1764537,1105854,128656,2999047
7,25,31,6,2024,725031,1053,882,399136,0,0,0,3139,2777,399498,7009,0,0,0,0,7009,0,1314,1664,419394,0,306043,33298,466,0,824,684,1508,238,341748,77645,419394,0,0,0,339341,0,0,0,0,0,195,0,0,521,0,0,32245,44879,0,7826,147,7973
7,25,131,6,2024,725131,1481,4463,1984967,0,0,0,23338,3842,2004463,27016,0,0,0,0,27016,1848,15973,12875,2125265,0,1719216,10941,1628,0,5357,100,5457,5252,1742966,382298,2125265,-3,0,0,1730157,0,0,0,0,0,473,0,0,3739,0,55558,0,323005,0,51332,5813,57145
7,25,203,6,2024,725203,45825,91600,20372537,0,0,5793,354592,18239,20714683,253178,0,0,30,0,253208,14182,121978,124136,21963867,0,17579829,234038,131146,0,105303,183,105786,14115,18264083,3699784,21963867,-13813,0,0,18011874,0,198007,300,0,0,1162,0,0,11706,300000,935386,239507,2226998,0,550420,47837,598256
7,25,247,6,2024,725247,689,2635,1361027,0,0,0,9331,1676,1368683,27179,0,0,0,0,27179,2,11045,10405,1452676,0,1084327,39966,60,0,2879,739,3618,7849,1135820,316857,1452676,0,0,0,1124292,0,0,0,0,0,0,0,0,1534,0,0,188942,126380,0,31592,446,32038
7,25,326,6,2024,725326,27049,30515,11893574,0,0,386,35826,76170,11853616,68239,0,0,0,0,68239,0,26791,16326,12348243,0,9877748,3017,77520,0,37674,0,39580,66691,10083245,2264998,12348243,-46972,0,0,9880765,0,0,0,1906,0,18689,0,0,19202,0,354163,1106018,832586,0,301579,24128,325707
7,25,355,6,2024,725355,27787,106680,29827409,0,0,1359,184864,160500,29853132,387397,0,0,14,10471,397883,7012,100980,84723,33354660,0,26325742,758932,203103,0,183234,0,183235,99368,27594879,5759781,33354660,-42262,0,0,27084674,0,0,0,0,0,24500,0,0,0,0,2149282,2210421,1442340,1817447,852333,106683,2776462
7,25,429,6,2024,725429,10191,16064,1825075,0,0,0,13689,1924,1836840,31416,0,0,0,0,31416,0,16483,5202,1966523,0,1566786,15545,12039,0,5446,157,5603,1801,1602498,364025,1966523,-3,0,0,1582331,0,0,0,0,0,724,0,0,1807,19219,69380,0,273622,0,50004,322,50326
