7,22,198,6,2024,722198,6359746,6488194,0,0,6359746,6488194,88751,78000,6448497,6566194,6359746,6488194,45392613,45983875,45316828,45917875,6359746,6488194,42143398,42639974,0,0
7,22,216,6,2024,722216,2329555,2332050,0,0,2329555,2332050,32797,29442,2362352,2361492,2329555,2332050,16359411,16711323,16331378,16686515,2329555,2332050,14027868,14389430,0,0
7,22,233,6,2024,722233,5134919,5146928,0,0,5134919,5146928,50630,56603,5185549,5203531,5134919,5146928,34295386,34723836,34254078,34677292,5047867,5058857,35714890,35999474,0,0
7,22,313,6,2024,722313,333941,339227,0,0,333941,339227,4985,4084,338927,343311,333941,339227,1884806,1897685,1880386,1894226,327736,333005,1881417,1895157,0,0
7,22,350,6,2024,722350,406986,413243,0,0,406986,413243,7470,7249,414455,420492,406986,413243,2500770,2586237,2494011,2579742,403487,409702,2283311,2380153,0,0
7,22,406,6,2024,722406,178518,180620,0,0,178518,180620,778,878,179296,181498,178518,180620,956571,986511,955813,985653,176857,178963,926425,965938,0,0
7,22,644,6,2024,722644,1007869,1011519,0,0,1007869,1011519,12567,14475,1020435,1025994,1007869,1011519,6875365,7027259,6863913,7013841,995553,999160,6425185,6574349,0,0
7,22,918,6,2024,722918,3873408,3877657,100000,100000,3973408,3977657,304244,339641,4277652,4317298,4188225,4192518,31398196,31809275,31310350,31686902,3711168,3715821,31593070,31899522,0,0
7,25,31,6,2024,725031,67015,67443,0,0,67015,67443,2517,2972,69532,70415,68749,69169,408014,419040,407442,417989,66502,66922,397308,409191,0,0
7,25,131,6,2024,725131,324085,326971,0,0,324085,326971,4702,4315,328787,331286,324085,326971,2164521,2171427,2160496,2167585,320356,323232,2070854,2069934,0,0
7,25,203,6,2024,725203,2719368,2751510,300000,300000,3019368,3051510,217168,219402,3236536,3270912,3263125,3293360,23943223,24186424,23970688,24210034,2707692,2226998,20999661,21265655,0,0
7,25,247,6,2024,725247,283640,287418,0,0,283640,287418,1933,1776,285573,289194,283640,287418,1532562,1531351,1530632,1529675,282102,285884,1422511,1418197,0,0
7,25,326,6,2024,725326,2039663,2050283,0,0,2039663,2050283,93316,94859,2132979,2145142,2012866,2010405,13028193,13125079,12928095,13009031,2020554,2031081,11934779,12020056,0,0
7,25,355,6,2024,725355,5001761,5060239,0,0,5001761,5060239,172205,178125,5173965,5238364,5001761,5060239,33375736,34001594,33229515,33847969,5000349,5060239,31761491,32401855,0,0
7,25,429,6,2024,725429,286588,290022,0,0,286588,290022,1829,2648,288417,292670,305467,309241,2095614,2097377,2094396,2095453,284792,288214,1911590,1911735,0,0
7,25,450,6,2024,725450,692811,697991,0,0,692811,697991,7208,12004,700019,709995,692811,697991,4843394,4624840,4837742,4614599,690911,784380,4570872,4617530,0,0
7,25,466,6,2024,725466,139804,141275,0,0,139804,141275,3068,3336,142872,144611,139804,141275,876765,899050,874277,896343,139259,140727,745757,778559,0,0
7,25,488,6,2024,725488,200499,202789,0,0,200499,202789,1733,1455,202231,204244,200499,202789,1136611,1159219,1135100,1158002,199676,201967,1023405,1047094,0,0
7,25,629,6,2024,725629,294712,298464,0,0,294712,298464,3876,3591,298587,302055,294712,298464,1816756,1842377,1813970,1839818,291828,295566,1896142,1926843,0,0
7,25,676,6,2024,725676,290212,288609,0,,290212,288609,3320,3504,293533,292113,290212,288609,1827627,1866287,1824545,1863061,289497,287899,1588558,1617803,0,0
7,25,715,6,2024,725715,104923,106091,0,0,104923,106091,1443,1485,106365,107575,104923,106091,526313,532905,525125,531676,104200,105370,504510,512330,0,0
7,25,818,6,2024,725818,389969,383709,0,0,389969,383709,9084,20658,399053,404367,389969,383709,2651229,2713072,2643922,2694598,388617,382362,2475780,2525274,0,0
