7,25,31,6,2024,725031,390207,5811,0,390207,0,577,2731,407299,0,296248,32288,328537,330293,77006,0,0,7826,148
7,25,131,6,2024,725131,1992307,26686,0,1992307,0,14894,1142,2124867,0,1724071,9334,1733405,1746772,378095,0,0,51332,5271
7,25,203,6,2024,725203,20222629,224772,0,20222629,0,319973,17666,21641038,0,17366810,454226,17821036,17995009,3646029,0,0,550414,44293
7,25,247,6,2024,725247,1368560,24297,0,1368560,0,8736,2,1456098,0,1092464,41994,1134458,1142496,313602,0,0,31592,448
7,25,326,6,2024,725326,11841126,62215,3922,11845048,0,25042,0,12254244,0,9833398,2641,9836039,9989954,2264290,0,0,301580,22542
7,25,355,6,2024,725355,29315803,338780,0,31093816,4763,142012,11660,32688818,0,25805725,718862,26524587,26958543,5730275,0,1778013,852333,102657
7,25,429,6,2024,725429,1843432,29486,0,1843432,0,2170,0,1964784,0,1572085,17985,1590070,1606126,358658,0,0,50004,325
7,25,450,6,2024,725450,4453058,65872,0,4454943,0,29080,0,4685793,0,3750875,111817,3862692,3878060,807733,0,1885,108071,0
7,25,466,6,2024,725466,719085,12775,0,719085,0,7571,0,763609,0,575386,26666,602052,607743,155866,0,0,16938,143
7,25,488,6,2024,725488,1001132,13872,0,1001132,0,1620,32,1048390,0,795193,22854,818046,823325,225065,0,0,23728,260
7,25,629,6,2024,725629,1823613,40505,0,1823613,0,7452,0,1942907,0,1575286,15145,1590430,1603163,339743,0,0,44422,579
7,25,676,6,2024,725676,1537369,27271,0,1537369,0,2860,0,1631478,0,1222257,68641,1290898,1298346,333132,0,0,40367,2270
7,25,715,6,2024,725715,489382,8923,0,489382,3,0,0,515563,0,382578,13258,395837,399588,115975,0,0,10479,169
7,25,818,6,2024,725818,2403836,44840,0,2403836,0,4798,0,2540333,0,2019860,52256,2072116,2085777,454555,0,0,60619,520
7,25,839,6,2024,725839,2915206,38320,0,2923846,0,31857,0,3104964,0,2496026,0,2496026,2506767,598197,0,8639,68521,17935
7,25,940,6,2024,725940,1542167,23630,0,1542167,0,7659,84,1635272,0,1281178,25320,1306498,1312839,322432,0,0,37996,2378
8,10,586,6,2024,810586,1053825,18542,0,1053825,0,2959,0,1099818,0,922187,0,922187,928459,171360,0,0,20139,202
9,25,0,6,2024,925000,149787028,813650,0,189766155,151,149850,3,192431005,174795819,0,2184102,176979920,180745247,11685759,0,39979127,147407,134264
20,0,2,6,2024,2000002,0,0,0,0,0,0,0,63460,0,0,0,0,51759,11701,0,0,0,0
20,0,4,6,2024,2000004,4207110,0,0,4207110,151,21845,0,4438059,0,2996449,0,2996449,3882859,555200,0,0,0,0
20,0,7,6,2024,2000007,0,0,13336,13336,0,0,0,52354,0,22,0,22,22444,29910,0,0,0,626
20,0,9,6,2024,2000009,0,0,5251,5251,0,0,0,18392,0,0,0,0,6206,12186,0,0,13,195
20,0,11,6,2024,2000011,0,0,1321,1321,0,0,0,3006,0,0,0,0,1467,1539,0,0,0,0
20,0,12,6,2024,2000012,0,0,0,0,0,0,0,51735,0,21716,0,21716,27333,24402,0,0,16,0
