7,22,146,6,2024,722146,10,6291824,25435,2477,6319735,20,0,0,0,0,54,1088,971,4362,6421,56,14432,0,2976,17408,60,6307344,26405,9815,6343564,80,,,,22315
7,22,198,6,2024,722198,10,40606302,145094,23059,40774455,20,0,0,0,0,54,0,0,0,0,56,70964,3000,23817,97781,60,40677265,148094,46876,40872235,80,,,,198404
7,22,216,6,2024,722216,10,14169567,14802,1736,14186105,20,0,0,0,0,54,928,0,0,928,56,44375,138,6766,51279,60,14214869,14940,8502,14238312,80,,,,34389
7,22,233,6,2024,722233,10,33260552,90343,76733,33427629,20,0,0,0,0,54,43314,2734,0,46048,56,24227,32975,82450,139652,60,33328094,126052,159183,33613329,80,,,,144509
7,22,313,6,2024,722313,10,1843666,6287,312,1850265,20,0,0,0,0,54,0,0,0,0,56,6981,1687,3309,11978,60,1850647,7974,3621,1862242,80,,,,12288
7,22,350,6,2024,722350,10,2347845,4804,0,2352648,20,0,0,0,0,54,1,31,0,32,56,5884,252,6489,12626,60,2353730,5087,6489,2365306,80,,,,8711
7,22,406,6,2024,722406,10,921265,3297,0,924561,20,0,0,0,0,54,0,0,0,0,56,3,169,0,173,60,921268,3466,0,924734,80,,,,4104
7,22,644,6,2024,722644,10,6459951,2668,0,6462619,20,0,0,0,0,54,1736,89,0,1826,56,13644,3677,3570,20890,60,6475331,6434,3570,6485335,80,,,,28585
7,22,918,6,2024,722918,10,28998328,232539,30495,29261362,20,0,0,0,0,54,6702,1070,1657,9429,56,107590,12179,176626,296394,60,29112620,245788,208777,29567185,80,,,,90298
7,25,31,6,2024,725031,10,405252,893,0,406145,20,0,0,0,0,54,0,0,0,0,56,939,2201,0,3139,60,406191,3093,0,409284,80,,,,2124
7,25,131,6,2024,725131,10,2005162,6821,0,2011983,20,0,0,0,0,54,0,0,0,0,56,11489,8257,3591,23338,60,2016651,15079,3591,2035321,80,,,,6296
7,25,203,6,2024,725203,10,20613024,8462,7883,20629369,20,2169,0,0,2169,54,0,0,0,0,56,195427,21206,137960,354592,60,20810620,29668,145842,20986130,80,,,,21135
