6,10,0,6,2024,610000,0,18071,0,10434,0,0,7637
6,20,0,6,2024,620000,0,6810,0,3618,0,0,3192
6,22,0,6,2024,622000,91,5028,0,3173,2,0,1944
7,10,261,6,2024,710261,0,0,0,0,0,0,0
7,10,269,6,2024,710269,10987,979,0,9142,-431,0,3255
7,10,454,6,2024,710454,3,6071,0,3545,0,0,2528
7,10,549,6,2024,710549,0,1243,0,727,0,0,516
7,10,551,6,2024,710551,98,2641,0,0,0,0,2739
7,10,566,6,2024,710566,21226,0,0,1936,0,79,19370
7,10,862,6,2024,710862,0,0,0,0,0,0,0
7,10,924,6,2024,710924,0,477,0,285,88,0,105
7,10,973,6,2024,710973,0,0,0,0,0,0,0
7,10,981,6,2024,710981,0,734,0,427,0,0,307
7,10,985,6,2024,710985,550,0,0,156,0,0,395
7,10,990,6,2024,710990,0,0,0,0,0,0,0
7,20,33,6,2024,720033,583,1130,0,1157,7,0,549
7,20,40,6,2024,720040,0,0,0,0,0,0,0
7,20,60,6,2024,720060,691,1120,0,848,39,0,924
7,20,66,6,2024,720066,0,11,0,0,0,0,11
7,20,131,6,2024,720131,0,526,0,289,0,0,236
7,20,143,6,2024,720143,0,0,0,0,0,0,0
7,20,168,6,2024,720168,108,603,,145,,0,567
7,20,186,6,2024,720186,0,0,0,0,0,0,0
7,20,188,6,2024,720188,501,1896,0,1545,0,0,852
7,20,194,6,2024,720194,150,0,0,0,0,0,150
7,20,336,6,2024,720336,0,0,0,0,0,0,0
7,20,345,6,2024,720345,842,1880,0,1085,0,0,1637
7,20,376,6,2024,720376,0,3182,0,1737,0,0,1446
7,20,440,6,2024,720440,0,1663,0,941,0,0,722
7,20,899,6,2024,720899,9,1577,0,868,0,0,718
7,20,922,6,2024,720922,1295,0,0,469,0,0,826
7,22,12,6,2024,722012,119,11240,0,8021,0,0,3338
7,22,114,6,2024,722114,0,2115,0,1333,0,0,783
7,22,146,6,2024,722146,58,4861,0,2854,0,0,2064
7,22,198,6,2024,722198,0,9865,0,0,0,0,9865
7,22,216,6,2024,722216,77,14473,0,8705,0,0,5846
7,22,233,6,2024,722233,372,23818,0,14352,-22,0,9860
7,22,313,6,2024,722313,0,2999,0,1675,85,0,1239
7,22,350,6,2024,722350,0,2413,0,1553,0,0,860
7,22,406,6,2024,722406,99,0,0,0,22,0,77
7,22,644,6,2024,722644,68,4375,0,2601,0,0,1842
7,22,918,6,2024,722918,1132,22112,0,13242,0,0,10002
7,25,31,6,2024,725031,0,0,0,0,0,0,0
7,25,131,6,2024,725131,1087,1900,0,1132,7,0,1848
7,25,203,6,2024,725203,7501,16828,0,10147,0,0,14182
7,25,247,6,2024,725247,2,0,0,0,0,0,2
7,25,326,6,2024,725326,0,0,0,0,0,0,0
7,25,355,6,2024,725355,11990,0,0,427,4550,0,7012
7,25,429,6,2024,725429,0,0,0,0,0,0,0
7,25,450,6,2024,725450,0,0,0,0,0,0,0
7,25,466,6,2024,725466,0,0,0,0,0,0,0
7,25,488,6,2024,725488,0,1109,0,661,0,0,448
7,25,629,6,2024,725629,0,0,0,0,0,0,0
7,25,676,6,2024,725676,0,0,0,0,0,0,0
7,25,715,6,2024,725715,0,0,0,0,0,0,0
7,25,818,6,2024,725818,0,0,0,0,0,0,0
7,25,839,6,2024,725839,0,0,0,0,0,0,0
7,25,940,6,2024,725940,0,3446,0,2054,0,0,1392
8,10,586,6,2024,810586,0,0,0,0,0,0,0
9,25,0,6,2024,925000,3,0,0,0,0,,3
20,0,2,6,2024,2000002,0,0,0,0,0,0,0
20,0,4,6,2024,2000004,0,0,0,0,0,0,0
20,0,7,6,2024,2000007,,,,,,,
20,0,9,6,2024,2000009,,,,,,,
20,0,11,6,2024,2000011,0,0,0,0,0,0,0
20,0,12,6,2024,2000012,0,0,0,0,0,0,0
