6,10,0,6,2024,610000,
100,20151,,,6667,,,,13484,0,0,0,,,,,,,
210,289231,,,0,,,,289231,0,0,0,,,,,,,
220,0,,,0,,,,0,,0,,,,,,,,
310,0,,,0,,,,0,0,0,0,0,,,,,,
320,7286330,,,5256959,,,,1871654,,157717,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,123846,,,,,,,0,,,,,,,26,0,129849,
430,0,,,,,,,0,,,,,,,0,0,0,
510,8757168,,,1937,,,,0,317724,8406514,30993,,,,,,,
520,21584929,,,0,,,,21584929,0,0,0,,,,,,,
600,0,,,0,,,,0,0,0,0,,,,,,,
700,234704,,,16389,,,,24689,,193626,,,,,,,,
800,38296358,,,5281952,,,,23783987,317724,8757857,30993,0,,,26,0,129849,
900,147707,1.0000,147707,0,,,,1516,1975,144217,0,,,,,,,
1000,8394,0.5000,4197,0,,,,0,160,3843,194,,,,,,,
1110,1118,0.2000,224,0,,,,0,0,224,0,,,,,,,
1120,16257,0.5000,8128,0,,,,0,0,8128,0,,,,,,,
1200,557,1.0000,557,0,0,0,,557,0,0,0,,,,,0,0,
1310,459442,0.2000,91888,0,,,,0,952,90843,93,,,,,,,
1320,3752439,0.5000,1876219,0,,,,7904,21049,1846191,1074,,,,,,,
1330,5592488,0.2000,1118498,0,,,,1112356,0,6141,0,,,,,,,
1400,0,,101302,0,,,0,102254,0,-952,0,,,,,0,0,
1500,0,,0,0,0,0,,0,0,0,0,,,,,,,
1600,,,0,0,,,,0,0,0,0,,0,0,0,,,
1700,1466,1.0000,1466,0,,,,1466,,,,,,,,0,0,
1800,,,,0,0,0,0,1226053,24136,2098636,1362,,0,0,0,0,0,
1900,,,,5281952,0,0,0,25010040,341860,10856493,32355,0,0,0,26,0,129849,
2000,,,,0,0,0,0,0,1,1,2,6,6,9,13,,,
2100,,,,0,0,0,0,5002008,170930,10856493,48532,0,0,0,329,0,129849,
16208141,133154,133154,16208141,0,16208141,16177571
6,20,0,6,2024,620000,
100,1111846,,,425542,,,,453795,0,232509,0,,,,,,,
210,0,,,0,,,,0,0,0,0,,,,,,,
220,0,,,0,,,,0,,0,,,,,,,,
310,10242,,,9290,,,,176,0,776,0,0,,,,,,
320,8622844,,,4026082,,,,4596762,0,0,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,633559,,,,,,,0,,,,,,,0,219355,0,
430,300,,,,,,,0,,,,,,,300,0,0,
510,10975539,,,5854,,,,528855,3104122,7319875,16833,,,,,,,
520,23592066,,,0,,,,23423001,169065,0,0,,,,,,,
600,1275,,,0,,,,0,1275,0,0,,,,,,,
700,295946,,,0,,,,72462,,223484,,,,,,,,
800,45243617,,,4466768,,,,29075052,3274462,7776643,16833,0,,,300,219355,0,
900,81932,1.0000,81932,0,,,,0,0,81932,0,,,,,,,
1000,4754,0.5000,2377,0,,,,0,0,2377,0,,,,,,,
1110,1432,0.2000,286,0,,,,0,0,286,0,,,,,,,
1120,0,0.5000,0,0,,,,0,0,0,0,,,,,,,
1200,0,1.0000,0,0,0,0,,0,0,0,0,,,,,0,0,
1310,442639,0.2000,88528,0,,,,0,59,88461,9,,,,,,,
1320,3777591,0.5000,1888796,0,,,,0,248174,1640441,181,,,,,,,
1330,2720987,0.2000,544197,0,,,,535748,8450,0,0,,,,,,,
1400,13027,,13027,0,,,0,13027,0,0,0,,,,,0,0,
1500,0,,0,0,0,0,,0,0,0,0,,,,,,,
1600,,,0,0,,,,0,0,0,0,,0,0,0,,,
1700,0,1.0000,0,0,,,,0,0,0,0,,,,,0,0,
1800,,,,0,0,0,0,548774,256682,1813497,190,,0,0,0,0,0,
1900,,,,4466768,0,0,0,29623826,3531144,9590140,17023,0,0,0,300,219355,0,
2000,,,,0,0,0,0,0,1,1,2,6,6,9,13,,,
2100,,,,0,0,0,0,5924765,1765572,9590140,25534,0,0,0,3750,219355,0,
17529116,87959,87959,17529116,0,17529116,17490653
6,22,0,6,2024,622000,
100,1187131,,,0,,,,1187131,0,0,0,,,,,,,
210,66,,,0,,,,66,0,0,0,,,,,,,
220,1170577,,,0,,,,0,,0,,,,,,,,
310,0,,,0,,,,0,0,0,0,0,,,,,,
320,23241253,,,12262858,,,,5335234,0,5643161,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,551869,,,,,,,0,,,,,,,0,0,551869,
430,0,,,,,,,0,,,,,,,0,0,0,
510,20659018,,,101,,,,18303,3428661,17048128,163824,,,,,,,
520,132884576,,,0,,,,132046911,0,837666,0,,,,,,,
600,0,,,0,,,,0,0,0,0,,,,,,,
700,126606,,,0,,,,39879,,86727,,,,,,,,
800,179821095,,,12262959,,,,138627523,3428661,23615681,163824,0,,,0,0,551869,
900,239074,1.0000,239074,0,,,,0,0,239074,0,,,,,,,
1000,28,0.5000,14,0,,,,0,0,14,0,,,,,,,
1110,0,0.2000,0,0,,,,0,0,0,0,,,,,,,
1120,0,0.5000,0,0,,,,0,0,0,0,,,,,,,
1200,1170577,1.0000,1170577,1170577,0,0,,0,0,0,0,,,,,0,0,
1310,1611195,0.2000,322239,0,,,,4,44,320674,1516,,,,,,,
1320,3289652,0.5000,1644826,0,,,,65,2190,1637557,5014,,,,,,,
1330,25768814,0.2000,5153763,0,,,,5075305,0,78458,0,,,,,,,
1400,0,,47465,9228,,,1812,35950,0,475,0,,,,,0,0,
1500,0,,313246,149227,164019,0,,0,0,0,0,,,,,,,
1600,,,0,0,,,,0,0,0,0,,0,0,0,,,
1700,0,1.0000,0,0,,,,0,0,0,0,,,,,0,0,
1800,,,,1329032,164019,0,1812,5111324,2234,2276252,6531,,0,0,0,0,0,
1900,,,,13591991,164019,0,1812,143738847,3430896,25891933,170355,0,0,0,0,0,551869,
2000,,,,0,0,0,0,0,1,1,2,6,6,9,13,,,
2100,,,,0,3280,0,181,28747769,1715448,25891933,255532,0,0,0,0,0,551869,
57166013,10556,10556,57166013,0,57166013,57136384
7,10,261,6,2024,710261,
100,22,,,22,,,,0,0,0,0,,,,,,,
210,0,,,0,,,,0,0,0,0,,,,,,,
220,0,,,0,,,,0,,0,,,,,,,,
310,248,,,0,,,,248,0,0,0,0,,,,,,
320,0,,,0,,,,0,0,0,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,0,,,,,,,0,,,,,,,0,0,0,
430,0,,,,,,,0,,,,,,,0,0,0,
510,2431021,,,8438,,,,584245,35015,1790402,12921,,,,,,,
520,0,,,0,,,,0,0,0,0,,,,,,,
600,0,,,0,,,,0,0,0,0,,,,,,,
700,25540,,,0,,,,0,,25540,,,,,,,,
800,2456831,,,8460,,,,584493,35015,1815942,12921,0,,,0,0,0,
900,385,1.0000,385,0,,,,0,0,385,0,,,,,,,
1000,67,0.5000,34,0,,,,0,0,34,0,,,,,,,
1110,0,0.2000,0,0,,,,0,0,0,0,,,,,,,
1120,0,0.5000,0,0,,,,0,0,0,0,,,,,,,
1200,0,1.0000,0,0,0,0,,0,0,0,0,,,,,0,0,
1310,100681,0.2000,20136,0,,,,367,0,19769,0,,,,,,,
1320,150116,0.5000,75058,0,,,,0,27,74628,404,,,,,,,
1330,0,0.2000,0,0,,,,0,0,0,0,,,,,,,
1400,0,,0,0,,,0,0,0,0,0,,,,,0,0,
1500,0,,0,0,0,0,,0,0,0,0,,,,,,,
1600,,,0,0,,,,0,0,0,0,,0,0,0,,,
1700,0,1.0000,0,0,,,,0,0,0,0,,,,,0,0,
1800,,,,0,0,0,0,367,27,94816,404,,0,0,0,0,0,
1900,,,,8460,0,0,0,584860,35041,1910757,13325,0,0,0,0,0,0,
2000,,,,0,0,0,0,0,1,1,2,6,6,9,13,,,
2100,,,,0,0,0,0,116972,17521,1910757,19987,0,0,0,0,0,0,
2065237,42372,45009,2062601,0,2062601,2059382
7,10,269,6,2024,710269,
100,8,,,8,,,,0,0,0,0,,,,,,,
210,0,,,0,,,,0,0,0,0,,,,,,,
220,0,,,0,,,,0,,0,,,,,,,,
310,217401,,,217277,,,,124,0,0,0,0,,,,,,
320,0,,,0,,,,0,0,0,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,0,,,,,,,0,,,,,,,0,0,0,
430,0,,,,,,,0,,,,,,,0,0,0,
510,2944921,,,93893,,,,132049,26059,2685984,6937,,,,,,,
520,0,,,0,,,,0,0,0,0,,,,,,,
600,0,,,0,,,,0,0,0,0,,,,,,,
700,44844,,,0,,,,0,,44844,,,,,,,,
800,3207175,,,311178,,,,132173,26059,2730829,6937,0,,,0,0,0,
900,14472,1.0000,14472,0,,,,0,0,14472,0,,,,,,,
1000,78,0.5000,39,0,,,,0,0,39,0,,,,,,,
1110,5,0.2000,1,0,,,,0,0,1,0,,,,,,,
1120,1191,0.5000,595,0,,,,0,0,595,0,,,,,,,
1200,0,1.0000,0,0,0,0,,0,0,0,0,,,,,0,0,
1310,345456,0.2000,69091,0,,,,1418,223,67332,119,,,,,,,
1320,511603,0.5000,255801,0,,,,38,3,255760,0,,,,,,,
1330,0,0.2000,0,0,,,,0,0,0,0,,,,,,,
1400,0,,0,0,,,0,0,0,0,0,,,,,0,0,
1500,0,,0,0,0,0,,0,0,0,0,,,,,,,
1600,,,0,0,,,,0,0,0,0,,0,0,0,,,
1700,730,1.0000,730,0,,,,0,730,0,0,,,,,0,0,
1800,,,,0,0,0,0,1456,956,338200,119,,0,0,0,0,0,
1900,,,,311178,0,0,0,133629,27014,3069029,7055,0,0,0,0,0,0,
2000,,,,0,0,0,0,0,1,1,2,6,6,9,13,,,
2100,,,,0,0,0,0,26726,13507,3069029,10583,0,0,0,0,0,0,
3119844,54175,54175,3119844,0,3119844,3107678
7,10,454,6,2024,710454,
100,41,,,41,,,,0,0,0,0,,,,,,,
210,0,,,0,,,,0,0,0,0,,,,,,,
220,0,,,0,,,,0,,0,,,,,,,,
310,0,,,0,,,,0,0,0,0,0,,,,,,
320,0,,,0,,,,0,0,0,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,0,,,,,,,0,,,,,,,0,0,0,
430,0,,,,,,,0,,,,,,,0,0,0,
510,2962300,,,0,,,,130824,30091,2797174,4210,,,,,,,
520,0,,,0,,,,0,0,0,0,,,,,,,
600,0,,,0,,,,0,0,0,0,,,,,,,
