6,10,0,6,2024,610000,10,8363231,138534,20,2902669,30682,30,1229727,1330020,40,93649,97653,50,0,0,60,0,0,70,426891,431685,80,77945,172501,90,0,0,100,4350000,0,110,257114,0,120,0,0
6,20,0,6,2024,620000,10,8521662,109143,20,2799415,67614,30,831192,1454913,40,62176,852288,50,1296,0,60,0,0,70,3231378,595481,80,0,143505,90,0,0,100,1559172,0,110,110358,0,120,0,0
6,22,0,6,2024,622000,10,19897294,0,20,0,0,30,1173581,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,14198684,0,120,0,0
7,10,261,6,2024,710261,10,205931,11818,20,129348,0,30,16398,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,269,6,2024,710269,10,537188,339303,20,2038508,0,30,34888,0,40,0,0,50,7349,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,454,6,2024,710454,10,402454,4223,20,224551,1266,30,43674,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,2099,0
7,10,549,6,2024,710549,10,35723,0,20,31962,0,30,15679,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,551,6,2024,710551,10,18282,0,20,35011,0,30,0,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,566,6,2024,710566,10,2118212,2495,20,2746270,11538,30,282251,63471,40,0,0,50,18755,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,30405,0
7,10,862,6,2024,710862,10,59871,0,20,0,0,30,5475,0,40,9191,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,924,6,2024,710924,10,72814,0,20,165273,0,30,174,0,40,13559,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,973,6,2024,710973,10,34878,16466,20,13854,0,30,6500,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,981,6,2024,710981,10,158651,4453,20,40581,0,30,6408,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,985,6,2024,710985,10,41504,0,20,0,0,30,10084,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,10,990,6,2024,710990,10,128788,0,20,0,0,30,13505,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,33,6,2024,720033,10,122089,6252,20,781012,0,30,0,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,40,6,2024,720040,10,3184,3451,20,73742,19428,30,0,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,60,6,2024,720060,10,0,0,20,0,0,30,0,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,66,6,2024,720066,10,162058,4901,20,500092,0,30,94282,3604,40,0,0,50,8088,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,131,6,2024,720131,10,54447,0,20,26440,0,30,22166,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,143,6,2024,720143,10,56634,0,20,9010,0,30,12898,0,40,0,0,50,88,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,168,6,2024,720168,10,181400,0,20,272067,0,30,39169,0,40,,0,50,2044,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,110358,0
7,20,186,6,2024,720186,10,45918,0,20,73678,0,30,17357,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,188,6,2024,720188,10,150594,0,20,228813,0,30,25718,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,194,6,2024,720194,10,92798,0,20,11221,0,30,66594,0,40,0,0,50,75,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,336,6,2024,720336,10,56818,20245,20,228671,0,30,9359,0,40,0,0,50,0,0,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,345,6,2024,720345,10,935822,0,20,170203,0,30,272298,211718,40,16010,0,50,4555,0,60,0,0,70,0,10714,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,376,6,2024,720376,10,376532,0,20,278755,0,30,68900,0,40,0,0,50,1371,432,60,0,0,70,0,2422,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,440,6,2024,720440,10,218909,0,20,510469,32342,30,78372,0,40,0,0,50,7341,0,60,0,0,70,0,346197,80,346197,0,90,0,0,100,0,0,110,0,0,120,0,0
7,20,899,6,2024,720899,10,206459,438596,20,408715,0,30,102968,22047,40,7446,0,50,553,45,60,0,0,70,0,0,80,0,0,90,0,0,100,0,0,110,0,0,120,0,0
