6,10,0,6,2024,610000,16697,279,9138,6343,0,0,3009,3706,39173
6,20,0,6,2024,620000,24390,370,1730,10832,11923,747,3806,4736,58535
6,22,0,6,2024,622000,8343,604,1772,7190,0,24188,5367,4785,52250
7,10,261,6,2024,710261,5342,119,419,243,223,0,523,1462,8330
7,10,269,6,2024,710269,7184,104,351,529,124,0,576,1763,10632
7,10,454,6,2024,710454,5291,240,450,509,450,0,603,1494,9038
7,10,549,6,2024,710549,1589,44,106,68,26,0,137,399,2369
7,10,551,6,2024,710551,1456,81,184,373,209,0,152,487,2942
7,10,566,6,2024,710566,21595,363,2195,1509,599,0,2572,5325,34158
7,10,862,6,2024,710862,1111,65,175,136,42,0,61,263,1852
7,10,924,6,2024,710924,2380,97,140,83,84,0,192,827,3802
7,10,973,6,2024,710973,1710,96,86,177,51,0,202,551,2873
7,10,981,6,2024,710981,2213,106,227,171,220,0,296,966,4199
7,10,985,6,2024,710985,2206,105,271,262,151,0,-71,885,3807
7,10,990,6,2024,710990,2770,98,198,131,162,0,268,781,4407
7,20,33,6,2024,720033,7958,127,641,2228,123,0,617,2124,13819
7,20,40,6,2024,720040,1677,34,99,690,28,0,137,295,2959
7,20,60,6,2024,720060,594,58,48,347,9,5,23,178,1262
7,20,66,6,2024,720066,16152,172,1225,3509,287,-1,877,3200,25421
7,20,131,6,2024,720131,1515,64,97,602,19,7,125,421,2849
7,20,143,6,2024,720143,2241,44,140,639,33,23,147,434,3700
7,20,168,6,2024,720168,1816,60,243,683,45,6,126,530,3507
7,20,186,6,2024,720186,1415,65,67,354,37,2,72,309,2320
7,20,188,6,2024,720188,2773,88,267,718,58,-1,186,471,4559
7,20,194,6,2024,720194,5469,123,444,1967,98,2,434,1466,10003
7,20,336,6,2024,720336,3824,108,288,1107,130,7,281,1002,6748
7,20,345,6,2024,720345,14310,441,824,5302,260,80,1400,4375,26991
7,20,376,6,2024,720376,5755,144,358,1371,71,18,296,819,8832
7,20,440,6,2024,720440,7570,170,515,2256,189,19,543,1670,12932
7,20,899,6,2024,720899,4584,48,298,2242,143,67,476,1181,9038
7,20,922,6,2024,720922,2108,25,131,474,71,2,111,313,3235
7,22,12,6,2024,722012,24747,186,4340,2317,0,1,2616,1080,35286
7,22,114,6,2024,722114,3692,83,266,775,433,409,287,484,6428
7,22,146,6,2024,722146,11744,217,2000,3397,0,1881,1271,1986,22495
7,22,198,6,2024,722198,83224,473,13145,5097,89,0,8428,7555,118012
7,22,216,6,2024,722216,30133,517,4173,4863,0,0,2861,5892,48440
7,22,233,6,2024,722233,66747,435,3829,9447,7273,0,7085,13724,108540
7,22,313,6,2024,722313,4948,93,594,1241,0,503,380,940,8701
7,22,350,6,2024,722350,3414,128,546,1146,0,443,466,828,6971
7,22,406,6,2024,722406,1816,39,258,683,0,9,174,385,3364
7,22,644,6,2024,722644,9485,184,1526,4209,0,0,1304,2032,18740
7,22,918,6,2024,722918,63382,316,11378,7214,0,0,6401,11671,100361
7,25,31,6,2024,725031,1083,8,29,78,2,0,-36,155,1320
7,25,131,6,2024,725131,3651,64,293,2027,130,0,416,866,7447
7,25,203,6,2024,725203,51588,1242,2828,4780,343,0,4217,11355,76353
7,25,247,6,2024,725247,2895,70,164,175,117,0,266,495,4182
7,25,326,6,2024,725326,19363,398,1030,123,8126,92,2337,3917,35386
7,25,355,6,2024,725355,52439,668,3840,2059,12852,85,5737,7907,85588
7,25,429,6,2024,725429,2855,70,187,1226,129,0,377,661,5505
7,25,450,6,2024,725450,7027,102,663,134,372,0,910,1977,11185
7,25,466,6,2024,725466,1045,44,118,206,396,0,134,-18,1925
7,25,488,6,2024,725488,1606,25,81,671,8,141,185,266,2983
7,25,629,6,2024,725629,4612,129,226,1521,77,-3,355,907,7824
7,25,676,6,2024,725676,3876,136,193,330,1528,0,284,618,6966
7,25,715,6,2024,725715,859,45,57,503,14,1,89,188,1755
7,25,818,6,2024,725818,2925,125,282,1290,148,0,481,840,6091
7,25,839,6,2024,725839,5479,116,839,244,0,0,605,6782,14064
7,25,940,6,2024,725940,3761,97,221,1997,20,0,303,613,7011
8,10,586,6,2024,810586,1532,108,133,166,5,0,219,500,2663
9,25,0,6,2024,925000,78320,1127,4341,5751,18276,0,20922,21647,150384
20,0,2,6,2024,2000002,5519,170,363,2014,762,0,0,549,9376
20,0,4,6,2024,2000004,3106,0,0,10528,1,0,637,544,14815
20,0,7,6,2024,2000007,10246,0,896,6728,2060,0,0,2043,21972
20,0,9,6,2024,2000009,3788,28,55,1650,1447,0,0,268,7236
20,0,11,6,2024,2000011,1899,45,71,33,168,0,0,179,2395
20,0,12,6,2024,2000012,4385,0,293,5603,3093,0,0,1114,14487
